VendorID,ProductID,VendorName,ProductName,Classification,Notes
1000,,Speed Tech Corp.,,,
1000,153B,Speed Tech Corp.,TerraTec Electronic GmbH,Known,
1001,,"Ritronics Components (S) Pte., Ltd",,,
1003,,Sigma Corp.,,,
1003,0003,Sigma Corp.,SD14,Known,
1003,0100,Sigma Corp.,SD9/SD10,Known,
1003,8781,Sigma Corp.,Dock UD-01,Known,
1004,,"LG Electronics, Inc.",,,
1004,6000,"LG Electronics, Inc.",Various Mobile Phones,Known,
1004,6005,"LG Electronics, Inc.",T5100,Known,
1004,6018,"LG Electronics, Inc.",GM360/GD510/GW520/KP501,Known,
1004,6300,"LG Electronics, Inc.",G2/Optimus Android Phone [Charge mode],Known,
1004,6344,"LG Electronics, Inc.",LM-X420xxx/G2 Android Phone (USB tethering mode),Known,
1004,6348,"LG Electronics, Inc.",LM-X420xxx Android Phone (MIDI mode),Known,
1004,6356,"LG Electronics, Inc.",Optimus Android Phone [Virtual CD mode],Known,
1004,6800,"LG Electronics, Inc.",CDMA Modem,Known,
1004,7000,"LG Electronics, Inc.",LG LDP-7024D(LD)USB,Known,
1004,1FAE,"LG Electronics, Inc.",U8120 3G Cellphone,Known,
1004,618E,"LG Electronics, Inc.",Ally/Optimus One/Vortex (debug mode),Known,
1004,618F,"LG Electronics, Inc.",Ally/Optimus One,Known,
1004,61C5,"LG Electronics, Inc.",P880 / Charge only,Known,
1004,61C6,"LG Electronics, Inc.",Vortex (msc),Known,
1004,61CC,"LG Electronics, Inc.",Optimus S,Known,
1004,61DA,"LG Electronics, Inc.",G2 Android Phone [tethering mode],Known,
1004,61F1,"LG Electronics, Inc.",Optimus Android Phone [LG Software mode],Known,
1004,61F9,"LG Electronics, Inc.",Optimus (Various Models) MTP Mode,Known,
1004,61FC,"LG Electronics, Inc.",Optimus 3,Known,
1004,61FE,"LG Electronics, Inc.",Optimus Android Phone [USB tethering mode],Known,
1004,627F,"LG Electronics, Inc.",G3 (VS985) Android Phone (MTP/Download mode),Known,
1004,631C,"LG Electronics, Inc.",LM-X420xxx/G2/Optimus Android Phone (charge mode),Known,
